college_id,college_name,university_name,institution_type,ownership,state,city,district,address,latitude,longitude,established_year,accreditation,degrees,branches,total_approved_intake,faculty_count,student_count,student_faculty_ratio,placement_rate,median_package_lpa,average_package_lpa,highest_package_lpa,placed_students_count,graduated_students_count,higher_studies_rate,tuition_fee_annual,hostel_fee_annual,estimated_total_cost_annual,hostel_available,pcs_accessibility_score,distance_to_major_city_km,data_source,data_year,academic_indicators,recruiting_companies,internship_information,scholarship_information,campus_area_acres,library_facility,laboratories_facility,sports_facilities,medical_facilities,internet_connectivity,other_facilities,public_transport_information,clubs_and_societies,cultural_events,extracurricular_activities,data_source_url,has_placement_data,data_confidence,is_derived,placement_score,academic_score,affordability_score,infrastructure_score,location_score,student_life_score,confidence_score,data_confidence_tier
IIT-BOMBAY,Indian Institute of Technology Bombay (IIT Bombay),Autonomous - Institute of National Importance,Institute of National Importance (INI),Private,Maharashtra,Mumbai,Mumbai Suburban,"Powai, Mumbai, Maharashtra 400076",19.1334,72.9133,1958.0,Institute of National Importance (INI) - NIRF Top 3,B.Tech; Dual Degree; M.Tech; PhD,Computer Science and Engineering; Electrical Engineering; Mechanical Engineering; Data Science and AI; Aerospace Engineering; Chemical Engineering; Civil Engineering,1350,680.0,11500.0,16.9,88.5,21.82,24.5,168.0,1150.0,1300.0,8.5,220000.0,45000.0,265000.0,Available for Boys & Girls,3.0,0.0,NIRF MHRD Disclosures & JoSAA Gazette,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,85.8,96.0,47.3,98.0,92.0,97.0,100.0,High
IIT-DELHI,Indian Institute of Technology Delhi (IIT Delhi),Autonomous - Institute of National Importance,Institute of National Importance (INI),Private,Delhi,New Delhi,South Delhi,"Hauz Khas, New Delhi, Delhi 110016",28.545,77.1926,1961.0,Institute of National Importance (INI) - NIRF Top 2,B.Tech; Dual Degree; M.Tech; PhD,Computer Science and Engineering; Electrical Engineering; Mathematics & Computing; Mechanical Engineering; Civil Engineering; Chemical Engineering; Biotechnology,1200,650.0,10800.0,16.6,89.2,20.5,23.2,150.0,1100.0,1250.0,8.0,220000.0,42000.0,262000.0,Available for Boys & Girls,3.0,0.0,NIRF MHRD Disclosures & JoSAA Gazette,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,84.5,96.0,47.9,98.0,92.0,97.0,100.0,High
IIT-MADRAS,Indian Institute of Technology Madras (IIT Madras),Autonomous - Institute of National Importance,Institute of National Importance (INI),Private,Tamil Nadu,Chennai,Chennai,"IIT P.O., Chennai, Tamil Nadu 600036",12.9915,80.2337,1959.0,Institute of National Importance (INI) - NIRF Rank 1,B.Tech; Dual Degree; M.Tech; PhD,Computer Science and Engineering; Electrical Engineering; Mechanical Engineering; Aerospace Engineering; Civil Engineering; Chemical Engineering; Ocean Engineering,1400,630.0,10500.0,16.6,87.5,19.0,21.4,140.0,1020.0,1180.0,9.5,220000.0,44000.0,264000.0,Available for Boys & Girls,3.0,0.0,NIRF MHRD Disclosures & JoSAA Gazette,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,82.7,96.0,47.5,98.0,92.0,97.0,100.0,High
IIT-KANPUR,Indian Institute of Technology Kanpur (IIT Kanpur),Autonomous - Institute of National Importance,Institute of National Importance (INI),Private,Uttar Pradesh,Kanpur,Kanpur Nagar,"Kalyanpur, Kanpur, UP 208016",26.5123,80.2329,1959.0,Institute of National Importance (INI) - NIRF Top 5,B.Tech; BS; M.Tech; PhD,Computer Science and Engineering; Electrical Engineering; Mechanical Engineering; Aerospace Engineering; Materials Science; Civil Engineering; Chemical Engineering,1200,520.0,8800.0,16.9,86.0,17.5,19.8,130.0,950.0,1100.0,10.5,220000.0,38000.0,258000.0,Available for Boys & Girls,3.0,15.0,NIRF MHRD Disclosures & JoSAA Gazette,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,80.7,96.0,48.7,98.0,92.0,97.0,100.0,High
IIT-KHARAGPUR,Indian Institute of Technology Kharagpur (IIT Kharagpur),Autonomous - Institute of National Importance,Institute of National Importance (INI),Private,West Bengal,Kharagpur,Paschim Medinipur,"Kharagpur, West Bengal 721302",22.3149,87.3105,1951.0,Institute of National Importance (INI),B.Tech; Dual Degree; M.Tech; PhD,Computer Science and Engineering; Electronics & Electrical Communication; Mechanical Engineering; Aerospace Engineering; Civil Engineering; Chemical Engineering; Mining Engineering,1800,750.0,14000.0,18.6,85.0,16.5,19.2,135.0,1400.0,1650.0,9.0,220000.0,40000.0,260000.0,Available for Boys & Girls,3.0,130.0,NIRF MHRD Disclosures & JoSAA Gazette,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,78.4,96.0,48.3,98.0,64.0,97.0,100.0,High
IIT-ROORKEE,Indian Institute of Technology Roorkee (IIT Roorkee),Autonomous - Institute of National Importance,Institute of National Importance (INI),Private,Uttarakhand,Roorkee,Haridwar,"Roorkee, Uttarakhand 247667",29.8644,77.8964,1847.0,Institute of National Importance (INI),B.Tech; B.Arch; M.Tech; PhD,Computer Science and Engineering; Electronics & Communication; Electrical Engineering; Mechanical Engineering; Civil Engineering; Chemical Engineering; Data Science,1300,550.0,9200.0,16.7,83.5,17.54,19.5,120.0,663.0,794.0,8.0,220000.0,38000.0,258000.0,Available for Boys & Girls,3.0,180.0,NIRF MHRD Disclosures & JoSAA Gazette,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,78.8,96.0,48.7,98.0,64.0,97.0,100.0,High
IIT-GUWAHATI,Indian Institute of Technology Guwahati (IIT Guwahati),Autonomous - Institute of National Importance,Institute of National Importance (INI),Private,Assam,Guwahati,Kamrup,"Amingaon, North Guwahati, Assam 781039",26.1878,91.6916,1994.0,Institute of National Importance (INI),B.Tech; B.Des; M.Tech; PhD,Computer Science and Engineering; Electronics & Electrical Engineering; Mechanical Engineering; Data Science and AI; Chemical Engineering; Civil Engineering; Bioscience,950,480.0,7500.0,15.6,82.2,18.0,20.2,120.0,491.0,597.0,8.5,220000.0,38000.0,258000.0,Available for Boys & Girls,3.0,15.0,NIRF MHRD Disclosures & JoSAA Gazette,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,79.0,96.0,48.7,98.0,92.0,97.0,100.0,High
IIT-HYDERABAD,Indian Institute of Technology Hyderabad (IIT Hyderabad),Autonomous - Institute of National Importance,Institute of National Importance (INI),Private,Telangana,Hyderabad,Sangareddy,"Kandi, Sangareddy, Telangana 502285",17.5947,78.123,2008.0,Institute of National Importance (INI) - NIRF Top 8,B.Tech; B.Des; M.Tech; PhD,Computer Science and Engineering; Artificial Intelligence; Electrical Engineering; Mechanical Engineering; Biomedical Engineering; Civil Engineering; Materials Science,600,320.0,4500.0,14.1,84.5,17.0,19.5,65.0,380.0,450.0,11.0,220000.0,40000.0,260000.0,Available for Boys & Girls,3.0,45.0,NIRF MHRD Disclosures & JoSAA Gazette,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,79.7,98.0,48.3,98.0,84.0,97.0,100.0,High
IIT-BHU,Indian Institute of Technology (BHU) Varanasi,Autonomous - Institute of National Importance,Institute of National Importance (INI),Private,Uttar Pradesh,Varanasi,Varanasi,"Banaras Hindu University Campus, Varanasi, UP 221005",25.2677,82.9913,1919.0,Institute of National Importance (INI),B.Tech; Dual Degree; M.Tech; PhD,Computer Science and Engineering; Electrical Engineering; Electronics Engineering; Mechanical Engineering; Mining Engineering; Ceramic Engineering; Chemical Engineering,1450,380.0,7200.0,18.9,89.1,13.48,16.5,115.0,669.0,751.0,7.5,220000.0,35000.0,255000.0,Available for Boys & Girls,3.0,5.0,NIRF MHRD Disclosures & JoSAA Gazette,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,75.1,96.0,49.3,98.0,92.0,97.0,100.0,High
IIT-DHANBAD,Indian Institute of Technology (ISM) Dhanbad,Autonomous - Institute of National Importance,Institute of National Importance (INI),Private,Jharkhand,Dhanbad,Dhanbad,"Sardar Patel Nagar, Dhanbad, Jharkhand 826004",23.8144,86.4412,1926.0,Institute of National Importance (INI),B.Tech; M.Tech; PhD,Computer Science and Engineering; Mining Engineering; Petroleum Engineering; Mechanical; Electrical; Electronics; Chemical,1100,360.0,7500.0,20.8,78.5,12.5,14.8,50.0,780.0,990.0,8.0,220000.0,36000.0,256000.0,Available for Boys & Girls,3.0,150.0,NIRF MHRD Disclosures & JoSAA Gazette,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,69.4,94.0,49.1,98.0,64.0,97.0,100.0,High
